Restaurant,State,City,Zip-Code,Phone,Address,Longitude,Latitude,Source
A & W Family Restaurant,AR,Bryant,72022,501-653-0555,"118 Harvest Dr Bryant, AR, 72022",-92.4987,34.6249,https://www.menuism.com/restaurants/a-w-family-restaurant-bryant-489752
A & W Family Restaurant,AR,El Dorado,71730,870-862-5814,"4414 W Hillsboro St El Dorado, AR, 71730",-92.732185,33.208212,https://www.menuism.com/restaurants/a-w-family-restaurant-el-dorado-600756
A & W Family Restaurant,AR,Fordyce,71742,870-352-5900,"1229 N Edgar St Fordyce, AR, 71742",-92.426574,33.82455,https://www.menuism.com/restaurants/a-w-family-restaurant-fordyce-629664
A & W Family Restaurant,AR,Gassville,72635,870-435-6700,"7104 Highway 62 W Gassville, AR, 72635",-92.47773,36.28858,https://www.menuism.com/restaurants/a-w-family-restaurant-gassville-683732
A & W Family Restaurant,AR,North Little Rock,72113,501-851-6494,"20515 Highway 365 N North Little Rock, AR, 72113",-92.303665,34.808468,https://www.menuism.com/restaurants/a-w-family-restaurant-north-little-rock-475810
A & W Family Restaurant,AR,Paragould,72450-6115,870-240-8600,"2112 Linwood Dr Paragould, AR, 72450-6115",-90.509472,36.041617,https://www.menuism.com/restaurants/a-w-family-restaurant-paragould-268317
A & W Family Restaurant,AR,Searcy,72143,501-268-8112,"408 N Walnut St Searcy, AR, 72143",-91.725425,35.250796,https://www.menuism.com/restaurants/a-w-family-restaurant-searcy-661433
A & W Family Restaurant,AZ,Apache Junction,85220,480-671-3089,"2167 W Apache Trl Apache Junction, AZ, 85220",-111.5698214,33.41505,https://www.menuism.com/restaurants/a-w-family-restaurant-apache-junction-176271
A & W Family Restaurant,AZ,Avondale,85323,623-932-2065,"1495 N Dysart Rd Avondale, AZ, 85323",-112.3409576,33.4558244,https://www.menuism.com/restaurants/a-w-family-restaurant-avondale-364686
A & W Family Restaurant,AZ,Avondale,85392,623-535-5528,"13006 W Indian School Rd Avondale, AZ, 85392",-112.3388972,33.493296,https://www.menuism.com/restaurants/a-w-family-restaurant-avondale-264334
A & W Family Restaurant,AZ,Camp Verde,86322,928-567-7011,"362 N Industrial Camp Verde, AZ, 86322",-111.883809,34.574668,https://www.menuism.com/restaurants/a-w-family-restaurant-camp-verde-50860
A & W Family Restaurant,AZ,Camp Verde,86322,928-567-7011,"362 N Goswick Way Camp Verde, AZ, 86322",-111.865098,34.565659,https://www.menuism.com/restaurants/a-w-family-restaurant-camp-verde-686678
A & W Family Restaurant,AZ,Chandler,85224,480-855-7072,"2760 W Chandler Blvd Chandler, AZ, 85224",-111.890335,33.30611,https://www.menuism.com/restaurants/a-w-family-restaurant-chandler-60659
A & W Family Restaurant,AZ,Fountain Hills,85268,480-836-0555,"16805 E Shea Blvd Fountain Hills, AZ, 85268",-111.7187786,33.5758789,https://www.menuism.com/restaurants/a-w-family-restaurant-fountain-hills-388738
A & W Family Restaurant,AZ,Gilbert,85295,480-782-0379,"2453 S Gilbert Rd Gilbert, AZ, 85295",-111.789117,33.305433,https://www.menuism.com/restaurants/a-w-family-restaurant-gilbert-160857
A & W Family Restaurant,AZ,Gilbert,85296,480-632-0524,"117 S Val Vista Dr Gilbert, AZ, 85296",-111.755444,33.348677,https://www.menuism.com/restaurants/a-w-family-restaurant-gilbert-9545
A & W Family Restaurant,AZ,Glendale,85301,623-937-0234,"4338 W Glendale Ave Glendale, AZ, 85301",-112.1522949,33.5384632,https://www.menuism.com/restaurants/a-w-family-restaurant-glendale-221609
A & W Family Restaurant,AZ,Globe,85501,928-425-6558,"1690 E Ash St Globe, AZ, 85501",-110.768862,33.394837,https://www.menuism.com/restaurants/a-w-family-restaurant-globe-682330
A & W Family Restaurant,AZ,Mesa,85202,480-897-1480,"1950 W Baseline Rd Mesa, AZ, 85202",-111.876334,33.378946,https://www.menuism.com/restaurants/a-w-family-restaurant-mesa-68473
A & W Family Restaurant,AZ,Mesa,85209,480-396-7354,"7031 E Baseline Rd Mesa, AZ, 85209",-111.682237,33.378694,https://www.menuism.com/restaurants/a-w-family-restaurant-mesa-126300
A & W Family Restaurant,AZ,Parker,85344,928-669-8261,"901 S California Ave Parker, AZ, 85344",-114.28973,34.151327,https://www.menuism.com/restaurants/a-w-family-restaurant-parker-669705
A & W Family Restaurant,AZ,Parker,85344,928-669-2842,"205 W Riverside Dr Parker, AZ, 85344",-114.280333,34.154121,https://www.menuism.com/restaurants/a-w-family-restaurant-parker-651647
A & W Family Restaurant,AZ,Peoria,85345,623-486-4577,"6830 W Peoria Ave Peoria, AZ, 85345",-112.2060902,33.5817017,https://www.menuism.com/restaurants/a-w-family-restaurant-peoria-116032
A & W Family Restaurant,AZ,Peoria,85382,623-825-2768,"9036 W Union Hills Dr Peoria, AZ, 85382",-112.2536227,33.6526156,https://www.menuism.com/restaurants/a-w-family-restaurant-peoria-150540
A & W Family Restaurant,AZ,Phoenix,85035,623-873-1036,"7509 W Encanto Blvd Phoenix, AZ, 85035",-112.2220499,33.4729102,https://www.menuism.com/restaurants/a-w-family-restaurant-phoenix-300911
A & W Family Restaurant,AZ,Phoenix,85042,602-268-7542,"20 E Baseline Rd Phoenix, AZ, 85042",-112.072902,33.378167,https://www.menuism.com/restaurants/a-w-family-restaurant-phoenix-317988
A & W Family Restaurant,AZ,Sun City,85351,623-933-5828,"10777 Grand Ave Sun City, AZ, 85351",-112.292999,33.602784,https://www.menuism.com/restaurants/a-w-family-restaurant-sun-city-143218
A & W Family Restaurant,AZ,Surprise,85374,623-546-0173,"15504 W Bell Rd Surprise, AZ, 85374",-112.394685,33.638908,https://www.menuism.com/restaurants/a-w-family-restaurant-surprise-5786
A & W Family Restaurant,AZ,Thatcher,85552,928-428-1782,"3775 W Main St Thatcher, AZ, 85552",-109.763,32.8491,https://www.menuism.com/restaurants/a-w-family-restaurant-thatcher-629856
A & W Family Restaurant,AZ,Tucson,85735,520-883-0522,"6225 W Ajo Hwy Tucson, AZ, 85735",-111.09725,32.163948,https://www.menuism.com/restaurants/a-w-family-restaurant-tucson-660302
A & W Family Restaurant,AZ,Tucson,85743,520-682-7234,"6890 N Sandario Rd Tucson, AZ, 85743",-111.21816,32.330143,https://www.menuism.com/restaurants/a-w-family-restaurant-tucson-661071
A & W Family Restaurant,AZ,Tucson,85756,520-664-0907,"6261 E Benson Hwy Tucson, AZ, 85756",-110.859488,32.115547,https://www.menuism.com/restaurants/a-w-family-restaurant-tucson-604598
A & W Family Restaurant,AZ,Yuma,85364,520-726-1270,"S 4th Ave Yuma, AZ, 85364",-114.6245633,32.6712206,https://www.menuism.com/restaurants/a-w-family-restaurant-yuma-603243
A & W Family Restaurant,AZ,Yuma,85367,928-305-9339,"11183 S Frontage Rd Yuma, AZ, 85367",-114.4294227,32.6701932,https://www.menuism.com/restaurants/a-w-family-restaurant-yuma-664983
A & W Family Restaurant,CA,Anaheim,92805,714-522-4072,"1041 N Windsor St Anaheim, CA, 92805",-117.894716,33.8483189,https://www.menuism.com/restaurants/a-w-family-restaurant-anaheim-675075
A & W Family Restaurant,CA,Atascadero,93422,805-466-6472,"6435 Morro Rd Atascadero, CA, 93422",-120.665276,35.48476,https://www.menuism.com/restaurants/a-w-family-restaurant-atascadero-513172
A & W Family Restaurant,CA,Bakersfield,93308,661-399-0410,"705 Airport Dr Bakersfield, CA, 93308",-119.0392661,35.4132329,https://www.menuism.com/restaurants/a-w-family-restaurant-bakersfield-607347
A & W Family Restaurant,CA,Bakersfield,93309,661-397-8794,"6320 White Ln Bakersfield, CA, 93309",-119.073284,35.318479,https://www.menuism.com/restaurants/a-w-family-restaurant-bakersfield-687096
A & W Family Restaurant,CA,Bakersfield,93313-3724,661-835-8382,"2700 Panama Ln Bakersfield, CA, 93313-3724",-119.032639,35.29596,https://www.menuism.com/restaurants/a-w-family-restaurant-bakersfield-655735
A & W Family Restaurant,CA,Brentwood,94513,925-240-7900,"6371 Lone Tree Way Brentwood, CA, 94513",-121.734211,37.961661,https://www.menuism.com/restaurants/a-w-family-restaurant-brentwood-663065
A & W Family Restaurant,CA,Buena Park,90621-3310,714-522-4072,"7152 Orangethorpe Ave Buena Park, CA, 90621-3310",-118.007778,33.858417,https://www.menuism.com/restaurants/a-w-family-restaurant-buena-park-223471
A & W Family Restaurant,CA,Cabazon,92230,951-849-3301,"49030 Seminole Dr Cabazon, CA, 92230",-116.80538,33.9218,https://www.menuism.com/restaurants/a-w-family-restaurant-cabazon-458121
A & W Family Restaurant,CA,Capitola,95010,831-476-1170,"2120 41st Ave Capitola, CA, 95010",-121.964734,36.979079,https://www.menuism.com/restaurants/a-w-family-restaurant-capitola-478713
A & W Family Restaurant,CA,Citrus Heights,95610-6903,916-726-8222,"6079 Sunrise Vista Dr Citrus Heights, CA, 95610-6903",-121.2645073,38.6766279,https://www.menuism.com/restaurants/a-w-family-restaurant-citrus-heights-371039
A & W Family Restaurant,CA,Citrus Heights,95610-6910,916-723-8818,"8034 Greenback Ln Citrus Heights, CA, 95610-6910",-121.264939,38.678103,https://www.menuism.com/restaurants/a-w-family-restaurant-citrus-heights-624375
A & W Family Restaurant,CA,Clovis,93612,559-683-3545,"406 W Shaw Ave Clovis, CA, 93612",-119.719,36.8081,https://www.menuism.com/restaurants/a-w-family-restaurant-clovis-690330
A & W Family Restaurant,CA,Concord,94521-2934,925-680-7969,"4660 Clayton Rd Concord, CA, 94521-2934",-121.984978,37.961325,https://www.menuism.com/restaurants/a-w-family-restaurant-concord-661779
A & W Family Restaurant,CA,Corona,92879,951-371-3044,"1340 El Sobrante Rd Corona, CA, 92879",-117.545,33.8675,https://www.menuism.com/restaurants/a-w-family-restaurant-corona-470772
A & W Family Restaurant,CA,Corona,92879-5759,951-371-3044,"1298 El Sobrante Rd Corona, CA, 92879-5759",-117.544139,33.866952,https://www.menuism.com/restaurants/a-w-family-restaurant-corona-337084
A & W Family Restaurant,CA,El Cajon,92019-4342,619-660-2219,"2949 Jamacha Rd El Cajon, CA, 92019-4342",-116.940738,32.739398,https://www.menuism.com/restaurants/a-w-family-restaurant-el-cajon-678702
A & W Family Restaurant,CA,El Cajon,92021-6449,619-444-0718,"555 N 2nd St El Cajon, CA, 92021-6449",-116.935322,32.801248,https://www.menuism.com/restaurants/a-w-family-restaurant-el-cajon-603365
A & W Family Restaurant,CA,El Centro,92243,760-352-8800,"550 Wake Ave El Centro, CA, 92243",-115.5551711,32.7717202,https://www.menuism.com/restaurants/a-w-family-restaurant-el-centro-613086
A & W Family Restaurant,CA,Exeter,93221,559-592-5700,"420 N Kaweah Ave Exeter, CA, 93221",-119.135775,36.3028633,https://www.menuism.com/restaurants/a-w-family-restaurant-exeter-77530
A & W Family Restaurant,CA,Folsom,95630-8708,916-983-3883,"2535 Iron Point Rd Folsom, CA, 95630-8708",-121.117488,38.646659,https://www.menuism.com/restaurants/a-w-family-restaurant-folsom-616859
A & W Family Restaurant,CA,Gilroy,95020,408-847-1970,"5884 Monterey Rd Gilroy, CA, 95020",-121.556965,36.983946,https://www.menuism.com/restaurants/a-w-family-restaurant-gilroy-309158
A & W Family Restaurant,CA,Granada Hills,91344-4249,818-368-9757,"16906 San Fernando Mission Blvd Granada Hills, CA, 91344-4249",-118.500254,34.271908,https://www.menuism.com/restaurants/a-w-family-restaurant-granada-hills-37367
A & W Family Restaurant,CA,Hanford,93230,559-583-1664,"1675 W Lacey Blvd Hanford, CA, 93230",-119.6702288,36.3280768,https://www.menuism.com/restaurants/a-w-family-restaurant-hanford-624116
A & W Family Restaurant,CA,Hanford,93230,559-584-7579,"1113 N 10th Ave Hanford, CA, 93230",-119.6368582,36.3362142,https://www.menuism.com/restaurants/a-w-family-restaurant-hanford-292698
A & W Family Restaurant,CA,Hawthorne,90250-6618,310-676-5786,"5050 W Rosecrans Ave Hawthorne, CA, 90250-6618",-118.36677,33.9017258,https://www.menuism.com/restaurants/a-w-family-restaurant-hawthorne-131712
A & W Family Restaurant,CA,Highland,92346,909-863-9369,"2085 Central Ave Highland, CA, 92346",-117.217572,34.13564,https://www.menuism.com/restaurants/a-w-family-restaurant-highland-609183
A & W Family Restaurant,CA,Hollister,95023,831-637-2700,"203 South St Hollister, CA, 95023",-121.401314,36.848181,https://www.menuism.com/restaurants/a-w-family-restaurant-hollister-294694
A & W Family Restaurant,CA,Indio,92203,760-200-4255,"41800 Washington St Indio, CA, 92203",-116.303175,33.744131,https://www.menuism.com/restaurants/a-w-family-restaurant-indio-653624
A & W Family Restaurant,CA,La Habra,90631,562-266-1350,"1050 S Beach Blvd La Habra, CA, 90631",-117.96721,33.919382,https://www.menuism.com/restaurants/a-w-family-restaurant-la-habra-678329
A & W Family Restaurant,CA,La Mesa,91942-3016,619-698-5828,"5536 Grossmont Center Dr La Mesa, CA, 91942-3016",-117.010113,32.780155,https://www.menuism.com/restaurants/a-w-family-restaurant-la-mesa-206693
A & W Family Restaurant,CA,Ladera Ranch,92694,949-364-2982,"27622 Antonio Pkwy Ladera Ranch, CA, 92694",-117.629181,33.5617332,https://www.menuism.com/restaurants/a-w-family-restaurant-ladera-ranch-683606
A & W Family Restaurant,CA,Lakeside,92040-2915,619-561-8694,"12061 Woodside Ave Lakeside, CA, 92040-2915",-116.932128,32.855602,https://www.menuism.com/restaurants/a-w-family-restaurant-lakeside-668656
A & W Family Restaurant,CA,Lathrop,95330,209-858-0229,"150 E Louise Ave Lathrop, CA, 95330",-121.292821,37.811378,https://www.menuism.com/restaurants/a-w-family-restaurant-lathrop-213320
A & W Family Restaurant,CA,Livermore,94551,925-447-9977,"6061 Northfront Rd Livermore, CA, 94551",-121.723198,37.710837,https://www.menuism.com/restaurants/a-w-family-restaurant-livermore-654271
A & W Family Restaurant,CA,Los Angeles,,818-368-9757,"16906 San Fernando Mission Blvd Los Angeles, CA, ",-118.50078,34.272034,https://www.menuism.com/restaurants/a-w-family-restaurant-los-angeles-430625
A & W Family Restaurant,CA,Los Angeles,90048-3304,310-289-0477,"8522 Beverly Blvd Fl 8 Los Angeles, CA, 90048-3304",-118.377102,34.075956,https://www.menuism.com/restaurants/a-w-family-restaurant-los-angeles-328653
A & W Family Restaurant,CA,Los Banos,93635,209-826-1805,"748 W Pacheco Blvd Los Banos, CA, 93635",-120.862059,37.057385,https://www.menuism.com/restaurants/a-w-family-restaurant-los-banos-211556
A & W Family Restaurant,CA,Mentone,92359-1269,909-794-1428,"1930 Mentone Blvd Mentone, CA, 92359-1269",-117.128219,34.069537,https://www.menuism.com/restaurants/a-w-family-restaurant-mentone-338643
A & W Family Restaurant,CA,Merced,95348,209-723-2762,"180 W Olive Ave Merced, CA, 95348",-120.472208,37.318303,https://www.menuism.com/restaurants/a-w-family-restaurant-merced-220832
A & W Family Restaurant,CA,Modesto,95351,209-537-2278,"1467 Mitchell Rd Modesto, CA, 95351",-120.938914,37.60984,https://www.menuism.com/restaurants/a-w-family-restaurant-modesto-20139
A & W Family Restaurant,CA,Modesto,95354,209-522-7700,"1404 G St Modesto, CA, 95354",-120.992528,37.640511,https://www.menuism.com/restaurants/a-w-family-restaurant-modesto-1792
A & W Family Restaurant,CA,Montclair,91763,909-626-3348,"E Montclair Plaza Ln Montclair, CA, 91763",-117.6909008,34.0872341,https://www.menuism.com/restaurants/a-w-family-restaurant-montclair-655716
A & W Family Restaurant,CA,Norwalk,90650-5403,562-929-2386,"10951 Alondra Blvd Norwalk, CA, 90650-5403",-118.1007861,33.8876088,https://www.menuism.com/restaurants/a-w-family-restaurant-norwalk-337872
A & W Family Restaurant,CA,Oakdale,95361,209-847-2828,"1560 E F St Oakdale, CA, 95361",-120.8296095,37.773255,https://www.menuism.com/restaurants/a-w-family-restaurant-oakdale-50362
A & W Family Restaurant,CA,Oakhurst,93644-8876,559-683-3545,"40240 Highway 41 Oakhurst, CA, 93644-8876",-119.651666,37.332849,https://www.menuism.com/restaurants/a-w-family-restaurant-oakhurst-233621
A & W Family Restaurant,CA,Ontario,91762-3639,909-986-2310,"1267 W Holt Blvd Ontario, CA, 91762-3639",-117.675503,34.062884,https://www.menuism.com/restaurants/a-w-family-restaurant-ontario-212403
A & W Family Restaurant,CA,Orange,92865-3707,714-637-1323,"2469 N Tustin St Orange, CA, 92865-3707",-117.8361562,33.8296495,https://www.menuism.com/restaurants/a-w-family-restaurant-orange-642229
A & W Family Restaurant,CA,Palm Springs,92264,760-320-0004,"725 S Palm Canyon Dr Palm Springs, CA, 92264",-116.5446524,33.81179,https://www.menuism.com/restaurants/a-w-family-restaurant-palm-springs-600520
A & W Family Restaurant,CA,Patterson,95363,209-892-4998,"15014 Rogers Rd Patterson, CA, 95363",-121.175691,37.466752,https://www.menuism.com/restaurants/a-w-family-restaurant-patterson-221078
A & W Family Restaurant,CA,Rancho Cordova,95670,916-363-2661,"10399 Folsom Blvd Rancho Cordova, CA, 95670",-121.30316,38.589115,https://www.menuism.com/restaurants/a-w-family-restaurant-rancho-cordova-456589
A & W Family Restaurant,CA,Rancho Cordova,95670-4611,916-363-2661,"10427 Folsom Blvd Rancho Cordova, CA, 95670-4611",-121.300319,38.590872,https://www.menuism.com/restaurants/a-w-family-restaurant-rancho-cordova-372437
A & W Family Restaurant,CA,Redding,96003,530-243-2333,"86 Lake Blvd Redding, CA, 96003",-122.37929,40.6099012,https://www.menuism.com/restaurants/a-w-family-restaurant-redding-680573
A & W Family Restaurant,CA,Reseda,91335-3046,818-342-0990,"7213 Reseda Blvd Reseda, CA, 91335-3046",-118.5360458,34.2016485,https://www.menuism.com/restaurants/a-w-family-restaurant-reseda-251180
A & W Family Restaurant,CA,Riverbank,95367,209-869-4205,"2200 Patterson Rd Riverbank, CA, 95367",-120.958111,37.731412,https://www.menuism.com/restaurants/a-w-family-restaurant-riverbank-174175
A & W Family Restaurant,CA,Riverside,92507-6319,909-787-0761,"5225 Canyon Crest Dr Riverside, CA, 92507-6319",-117.330907,33.957812,https://www.menuism.com/restaurants/a-w-family-restaurant-riverside-606398
A & W Family Restaurant,CA,Sacramento,95815-3014,916-929-8253,"1601 Del Paso Blvd Sacramento, CA, 95815-3014",-121.45736,38.607387,https://www.menuism.com/restaurants/a-w-family-restaurant-sacramento-371882
A & W Family Restaurant,CA,Sacramento,95816,916-452-5954,"3030 Capitol Ave Sacramento, CA, 95816",-121.467661,38.569693,https://www.menuism.com/restaurants/a-w-family-restaurant-sacramento-667432
A & W Family Restaurant,CA,Sacramento,95821-4215,916-483-2728,"4219 Marconi Ave Sacramento, CA, 95821-4215",-121.3658638,38.617625,https://www.menuism.com/restaurants/a-w-family-restaurant-sacramento-371601
A & W Family Restaurant,CA,Sacramento,95822,916-421-5923,"5936 Freeport Blvd Sacramento, CA, 95822",-121.500016,38.518039,https://www.menuism.com/restaurants/a-w-family-restaurant-sacramento-372579
A & W Family Restaurant,CA,Sacramento,95825,916-927-2231,"2312 Arden Way Sacramento, CA, 95825",-121.4097446,38.5959025,https://www.menuism.com/restaurants/a-w-family-restaurant-sacramento-639138
A & W Family Restaurant,CA,San Dimas,91773,909-592-5459,"723 W Arrow Hwy San Dimas, CA, 91773",-117.819659,34.106724,https://www.menuism.com/restaurants/a-w-family-restaurant-san-dimas-667545
A & W Family Restaurant,CA,San Rafael,94903-3932,415-479-9652,"3741 Redwood Highway Frontage Rd San Rafael, CA, 94903-3932",-122.514934,37.904059,https://www.menuism.com/restaurants/a-w-family-restaurant-san-rafael-51533
A & W Family Restaurant,CA,Santa Ana,92704-2320,714-839-1340,"762 S Harbor Blvd Santa Ana, CA, 92704-2320",-117.920242,33.737327,https://www.menuism.com/restaurants/a-w-family-restaurant-santa-ana-620936
A & W Family Restaurant,CA,Santa Rosa,95401-3610,707-576-7873,"2130 Armory Dr Santa Rosa, CA, 95401-3610",-122.725298,38.458964,https://www.menuism.com/restaurants/a-w-family-restaurant-santa-rosa-47669
A & W Family Restaurant,CA,Simi Valley,93065-2037,805-583-2631,"1595 E Los Angeles Ave Simi Valley, CA, 93065-2037",-118.7670559,34.2718126,https://www.menuism.com/restaurants/a-w-family-restaurant-simi-valley-604760
A & W Family Restaurant,CA,Spring Valley,91977,619-461-7198,"9731 Campo Rd Spring Valley, CA, 91977",-116.986444,32.747665,https://www.menuism.com/restaurants/a-w-family-restaurant-spring-valley-659254
A & W Family Restaurant,CA,St Helena,94574-2002,707-963-4333,"501 Main St St Helena, CA, 94574-2002",-122.461395,38.498649,https://www.menuism.com/restaurants/a-w-family-restaurant-st-helena-27765
A & W Family Restaurant,CA,Stockton,95206-1333,209-466-0771,"134 E Charter Way Stockton, CA, 95206-1333",-121.2853642,37.9390062,https://www.menuism.com/restaurants/a-w-family-restaurant-stockton-369578
A & W Family Restaurant,CA,Stockton,95212-2821,209-952-7128,"3519 E Hammer Ln Stockton, CA, 95212-2821",-121.270982,38.021585,https://www.menuism.com/restaurants/a-w-family-restaurant-stockton-335316
A & W Family Restaurant,CA,Stockton,95215-2306,209-931-8994,"4450 E Waterloo Rd Stockton, CA, 95215-2306",-121.2450852,37.987942,https://www.menuism.com/restaurants/a-w-family-restaurant-stockton-370481
A & W Family Restaurant,CA,Sunnyvale,94085-3802,408-739-6405,"302 N Fair Oaks Ave Sunnyvale, CA, 94085-3802",-122.0182919,37.38172,https://www.menuism.com/restaurants/a-w-family-restaurant-sunnyvale-359340
A & W Family Restaurant,CA,Torrance,90504,310-323-9600,"16502 Crenshaw Blvd Torrance, CA, 90504",-118.326089,33.880872,https://www.menuism.com/restaurants/a-w-family-restaurant-torrance-630836
A & W Family Restaurant,CA,Tracy,95377,209-834-0786,"2290 W Grant Line Rd Tracy, CA, 95377",-121.458841,37.753575,https://www.menuism.com/restaurants/a-w-family-restaurant-tracy-657762
A & W Family Restaurant,CA,Tulare,93274,559-688-1688,"133 N J St Tulare, CA, 93274",-119.3476693,36.208265,https://www.menuism.com/restaurants/a-w-family-restaurant-tulare-200450
A & W Family Restaurant,CA,Turlock,95380,209-656-1222,"2705 W Monte Vista Ave Turlock, CA, 95380",-120.878601,37.522035,https://www.menuism.com/restaurants/a-w-family-restaurant-turlock-335756
A & W Family Restaurant,CA,Upland,91786-3732,909-981-4977,"1188 W Foothill Blvd Upland, CA, 91786-3732",-117.669811,34.106418,https://www.menuism.com/restaurants/a-w-family-restaurant-upland-610728
A & W Family Restaurant,CA,Venice,90291-3668,310-392-2330,"1301 Ocean Front Walk Venice, CA, 90291-3668",-118.474756,33.988507,https://www.menuism.com/restaurants/a-w-family-restaurant-venice-268816
A & W Family Restaurant,CA,Ventura,93003-7200,805-644-0715,"2950 Johnson Dr Ventura, CA, 93003-7200",-119.19489,34.247954,https://www.menuism.com/restaurants/a-w-family-restaurant-ventura-666595
A & W Family Restaurant,CA,Victorville,92395,760-843-3555,"12153 Mariposa Rd Victorville, CA, 92395",-117.342276,34.4716359,https://www.menuism.com/restaurants/a-w-family-restaurant-victorville-659267
A & W Family Restaurant,CA,Visalia,93277,559-625-1513,"2611 S Mooney Blvd Visalia, CA, 93277",-119.3139043,36.3071081,https://www.menuism.com/restaurants/a-w-family-restaurant-visalia-309700
A & W Family Restaurant,CA,Visalia,93291,559-733-4445,"301 N Willis St Visalia, CA, 93291",-119.2977541,36.3319391,https://www.menuism.com/restaurants/a-w-family-restaurant-visalia-323705
A & W Family Restaurant,CA,Watsonville,95076,831-722-2414,"1467 Freedom Blvd Watsonville, CA, 95076",-121.766884,36.928928,https://www.menuism.com/restaurants/a-w-family-restaurant-watsonville-615266
A & W Family Restaurant,CA,Yucaipa,92399-1954,909-797-6018,"33265 Yucaipa Blvd Yucaipa, CA, 92399-1954",-117.0785894,34.0338497,https://www.menuism.com/restaurants/a-w-family-restaurant-yucaipa-339348
A & W Family Restaurant,CO,Arvada,80003,303-425-0975,"7785 Wadsworth Blvd Arvada, CO, 80003",-105.0817466,39.8383592,https://www.menuism.com/restaurants/a-w-family-restaurant-arvada-189897
A & W Family Restaurant,CO,Aurora,80012-2508,303-365-2929,"14200 E Alameda Dr Aurora, CO, 80012-2508",-104.822909,39.71094,https://www.menuism.com/restaurants/a-w-family-restaurant-aurora-318012
A & W Family Restaurant,CO,Aurora,80012-5005,303-755-1196,"1551 S Havana St Aurora, CO, 80012-5005",-104.866404,39.688282,https://www.menuism.com/restaurants/a-w-family-restaurant-aurora-627466
A & W Family Restaurant,CO,Aurora,80015,720-870-3705,"5350 S Parker Rd Aurora, CO, 80015",-104.818753,39.617539,https://www.menuism.com/restaurants/a-w-family-restaurant-aurora-13936
A & W Family Restaurant,CO,Aurora,80015-1901,303-680-6751,"16901 E Quincy Ave Aurora, CO, 80015-1901",-104.791006,39.63892,https://www.menuism.com/restaurants/a-w-family-restaurant-aurora-609571
A & W Family Restaurant,CO,Berthoud,80513-1233,970-532-2272,"802 Mountain Ave Berthoud, CO, 80513-1233",-105.0851145,40.3050878,https://www.menuism.com/restaurants/a-w-family-restaurant-berthoud-317278
A & W Family Restaurant,CO,Boulder,80301-1408,303-442-7066,"3235 28th St Boulder, CO, 80301-1408",-105.259185,40.033351,https://www.menuism.com/restaurants/a-w-family-restaurant-boulder-291269
A & W Family Restaurant,CO,Broomfield,80020-2966,303-466-7796,"6400 W 120th Ave Broomfield, CO, 80020-2966",-105.067536,39.913833,https://www.menuism.com/restaurants/a-w-family-restaurant-broomfield-269467
